asn1,asn2,asn1RIR,asn2RIR,rel
174,212655,ARIN,RIPE,p2c
174,212700,ARIN,RIPE,p2c
174,212711,ARIN,RIPE,p2c
174,212731,ARIN,RIPE,p2c
174,212807,ARIN,RIPE,p2c
174,212841,ARIN,RIPE,p2c
174,212918,ARIN,RIPE,p2c
174,213138,ARIN,RIPE,p2c
174,262301,ARIN,LACNIC,p2c
174,263805,ARIN,LACNIC,p2c
174,263812,ARIN,LACNIC,p2c
174,264170,ARIN,LACNIC,p2c
174,265113,ARIN,LACNIC,p2c
174,265609,ARIN,LACNIC,p2c
174,265641,ARIN,LACNIC,p2c
174,265886,ARIN,LACNIC,p2c
174,266931,ARIN,LACNIC,p2c
174,267469,ARIN,LACNIC,p2c
174,267470,ARIN,LACNIC,p2c
174,267809,ARIN,LACNIC,p2c
174,268042,ARIN,LACNIC,p2c
174,268214,ARIN,LACNIC,p2c
174,270120,ARIN,LACNIC,p2c
174,270746,ARIN,LACNIC,p2c
174,271253,ARIN,LACNIC,p2c
174,271806,ARIN,LACNIC,p2c
174,327903,ARIN,AFRINIC,p2c
174,328137,ARIN,AFRINIC,p2c
174,328386,ARIN,AFRINIC,p2c
174,328507,ARIN,AFRINIC,p2c
174,328543,ARIN,AFRINIC,p2c
174,328749,ARIN,AFRINIC,p2c
174,328774,ARIN,AFRINIC,p2c
174,328785,ARIN,AFRINIC,p2c
174,328802,ARIN,AFRINIC,p2c
174,328832,ARIN,AFRINIC,p2c
174,393260,ARIN,ARIN,p2c
174,393312,ARIN,ARIN,p2c
174,393396,ARIN,ARIN,p2c
174,393667,ARIN,ARIN,p2c
174,393748,ARIN,ARIN,p2c
174,393792,ARIN,ARIN,p2c
174,394565,ARIN,ARIN,p2c
174,394991,ARIN,ARIN,p2c
174,395146,ARIN,ARIN,p2c
174,395189,ARIN,ARIN,p2c
174,395214,ARIN,ARIN,p2c
174,395478,ARIN,ARIN,p2c
174,395605,ARIN,ARIN,p2c
174,395610,ARIN,ARIN,p2c
174,395877,ARIN,ARIN,p2c
174,395886,ARIN,ARIN,p2c
174,395921,ARIN,ARIN,p2c
174,396188,ARIN,ARIN,p2c
174,396395,ARIN,ARIN,p2c
174,396421,ARIN,ARIN,p2c
174,396477,ARIN,ARIN,p2c
174,396535,ARIN,ARIN,p2c
174,396840,ARIN,ARIN,p2c
174,396896,ARIN,ARIN,p2c
174,397328,ARIN,ARIN,p2c
174,397341,ARIN,ARIN,p2c
174,397368,ARIN,ARIN,p2c
174,397496,ARIN,ARIN,p2c
174,397919,ARIN,ARIN,p2c
174,397948,ARIN,ARIN,p2c
174,398025,ARIN,ARIN,p2c
174,398074,ARIN,ARIN,p2c
174,398194,ARIN,ARIN,p2c
174,398230,ARIN,ARIN,p2c
174,398240,ARIN,ARIN,p2c
174,398267,ARIN,ARIN,p2c
174,398287,ARIN,ARIN,p2c
174,398360,ARIN,ARIN,p2c
174,398404,ARIN,ARIN,p2c
174,398427,ARIN,ARIN,p2c
174,398448,ARIN,ARIN,p2c
174,398465,ARIN,ARIN,p2c
174,398636,ARIN,ARIN,p2c
174,398698,ARIN,ARIN,p2c
174,398717,ARIN,ARIN,p2c
174,398728,ARIN,ARIN,p2c
174,398732,ARIN,ARIN,p2c
174,398754,ARIN,ARIN,p2c
174,398779,ARIN,ARIN,p2c
174,398811,ARIN,ARIN,p2c
174,398816,ARIN,ARIN,p2c
174,398840,ARIN,ARIN,p2c
174,398849,ARIN,ARIN,p2c
174,398914,ARIN,ARIN,p2c
174,398956,ARIN,ARIN,p2c
174,398968,ARIN,ARIN,p2c
174,398989,ARIN,ARIN,p2c
174,398998,ARIN,ARIN,p2c
174,399007,ARIN,ARIN,p2c
174,399037,ARIN,ARIN,p2c
174,399041,ARIN,ARIN,p2c
174,399072,ARIN,ARIN,p2c
174,399089,ARIN,ARIN,p2c
174,399090,ARIN,ARIN,p2c
174,399103,ARIN,ARIN,p2c
174,399112,ARIN,ARIN,p2c
174,399117,ARIN,ARIN,p2c
174,399124,ARIN,ARIN,p2c
174,399130,ARIN,ARIN,p2c
174,399188,ARIN,ARIN,p2c
174,399193,ARIN,ARIN,p2c
174,399199,ARIN,ARIN,p2c
174,399205,ARIN,ARIN,p2c
174,399226,ARIN,ARIN,p2c
174,399231,ARIN,ARIN,p2c
174,399265,ARIN,ARIN,p2c
174,399301,ARIN,ARIN,p2c
174,399334,ARIN,ARIN,p2c
174,399424,ARIN,ARIN,p2c
174,399451,ARIN,ARIN,p2c
174,399503,ARIN,ARIN,p2c
174,399521,ARIN,ARIN,p2c
174,399522,ARIN,ARIN,p2c
200,9381,ARIN,APNIC,p2p
202,6220,ARIN,ARIN,p2c
202,7809,ARIN,ARIN,p2c
202,8619,ARIN,RIPE,p2c
202,10662,ARIN,ARIN,p2c
202,13720,ARIN,ARIN,p2c
202,14762,ARIN,ARIN,p2c
202,21099,ARIN,RIPE,p2c
202,21521,ARIN,ARIN,p2c
202,21678,ARIN,ARIN,p2c
202,21753,ARIN,ARIN,p2c
202,23228,ARIN,ARIN,p2c
202,23503,ARIN,ARIN,p2c
202,26425,ARIN,ARIN,p2c
202,27026,ARIN,ARIN,p2c
202,27746,ARIN,LACNIC,p2c
202,28344,ARIN,LACNIC,p2c
202,36776,ARIN,ARIN,p2c
202,40150,ARIN,ARIN,p2c
202,41913,ARIN,RIPE,p2c
202,46586,ARIN,ARIN,p2c
202,46911,ARIN,ARIN,p2c
202,51569,ARIN,RIPE,p2c
202,54335,ARIN,ARIN,p2c
202,57052,ARIN,RIPE,p2c
202,61808,ARIN,LACNIC,p2c
202,138007,ARIN,APNIC,p2c
202,262597,ARIN,LACNIC,p2c
202,263558,ARIN,LACNIC,p2c
202,269621,ARIN,LACNIC,p2c
202,393567,ARIN,ARIN,p2c
202,395686,ARIN,ARIN,p2c
202,398669,ARIN,ARIN,p2c
202,399515,ARIN,ARIN,p2c
209,1378,ARIN,ARIN,p2c
209,4296,ARIN,ARIN,p2c
209,6949,ARIN,ARIN,p2c
209,7029,ARIN,ARIN,p2p
209,8149,ARIN,ARIN,p2c
209,9829,ARIN,APNIC,p2c
209,12159,ARIN,ARIN,p2c
209,13363,ARIN,ARIN,p2c
209,15239,ARIN,ARIN,p2c
209,16625,ARIN,ARIN,p2c
209,17313,ARIN,ARIN,p2c
209,18629,ARIN,ARIN,p2c
209,19307,ARIN,ARIN,p2c
209,19777,ARIN,ARIN,p2c
209,19833,ARIN,ARIN,p2c
209,22658,ARIN,ARIN,p2c
209,23412,ARIN,ARIN,p2c
209,25845,ARIN,ARIN,p2c
209,27031,ARIN,ARIN,p2c
209,29817,ARIN,ARIN,p2c
209,30664,ARIN,ARIN,p2c
209,32086,ARIN,ARIN,p2c
209,33397,ARIN,ARIN,p2c
209,39983,ARIN,ARIN,p2c
209,40075,ARIN,ARIN,p2c
209,40372,ARIN,ARIN,p2c
209,40799,ARIN,ARIN,p2c
209,46988,ARIN,ARIN,p2c
209,53662,ARIN,ARIN,p2c
209,62785,ARIN,ARIN,p2c
209,265705,ARIN,LACNIC,p2c
209,393271,ARIN,ARIN,p2c
209,393272,ARIN,ARIN,p2c
209,393274,ARIN,ARIN,p2c
209,393655,ARIN,ARIN,p2c
209,394287,ARIN,ARIN,p2c
209,394493,ARIN,ARIN,p2c
209,395548,ARIN,ARIN,p2c
209,396288,ARIN,ARIN,p2c
209,396936,ARIN,ARIN,p2c
209,397392,ARIN,ARIN,p2c
209,397604,ARIN,ARIN,p2c
209,397848,ARIN,ARIN,p2c
209,397923,ARIN,ARIN,p2c
209,397950,ARIN,ARIN,p2c
209,398828,ARIN,ARIN,p2c
209,398844,ARIN,ARIN,p2c
209,398902,ARIN,ARIN,p2c
209,399012,ARIN,ARIN,p2c
209,399090,ARIN,ARIN,p2c
209,399221,ARIN,ARIN,p2c
209,399254,ARIN,ARIN,p2c
209,399297,ARIN,ARIN,p2c
209,399317,ARIN,ARIN,p2c
210,3356,ARIN,ARIN,p2p
210,47065,ARIN,ARIN,p2c
226,47065,ARIN,ARIN,p2c
226,54574,ARIN,ARIN,p2p
226,63956,ARIN,APNIC,p2p
237,22251,ARIN,ARIN,p2c
250,50629,ARIN,RIPE,p2p
260,51857,ARIN,RIPE,p2c
267,20205,ARIN,ARIN,p2p
271,397375,ARIN,ARIN,p2c
286,702,ARIN,ARIN,p2p
286,1273,ARIN,ARIN,p2p
286,3303,ARIN,RIPE,p2p
286,3399,ARIN,ARIN,p2p
286,4826,ARIN,APNIC,p2p
286,6327,ARIN,ARIN,p2p
286,6391,ARIN,ARIN,p2p
286,6663,ARIN,RIPE,p2p
286,6696,ARIN,RIPE,p2p
286,7795,ARIN,ARIN,p2p
286,8075,ARIN,ARIN,p2p
286,8301,ARIN,RIPE,p2p
286,9534,ARIN,APNIC,p2p
286,11071,ARIN,ARIN,p2c
286,13213,ARIN,RIPE,p2c
286,13768,ARIN,ARIN,p2p
